# iteration,run time [seconds],cost
100,3.51,19.643214322
200,6.42,18.266848922
300,9.37,17.805012027
400,12.35,17.573517723
500,15.28,17.434436315
600,18.21,17.341638237
700,21.13,17.275316073
800,24.07,17.225553750
900,27.00,17.186837448
1000,29.92,17.155856671
1100,32.85,17.130503646
1200,35.78,17.109372607
1300,38.70,17.091489998
1400,41.62,17.076160225
1500,44.54,17.062873059
1600,47.48,17.051245752
1700,50.41,17.040985559
1800,53.33,17.031864754
1900,56.26,17.023703529
2000,59.20,17.016358019
2100,62.12,17.009711748
2200,65.05,17.003669409
2300,67.99,16.998152262
2400,70.92,16.993094687
2500,73.87,16.988441555
2600,76.80,16.984146219
2700,79.73,16.980168939
2800,82.66,16.976475648
2900,85.59,16.973036979
3000,88.52,16.969827479
3100,91.48,16.966824976
3200,94.44,16.964010071
3300,97.40,16.961365715
3400,100.33,16.958876863
3500,103.29,16.956530191
3600,106.23,16.954313853
3700,109.18,16.952217285
3800,112.13,16.950231033
3900,115.09,16.948346615
4000,118.04,16.946556394
4100,120.99,16.944853479
4200,123.94,16.943231636
4300,126.89,16.941685211
4400,129.84,16.940209061
4500,132.79,16.938798504
4600,135.74,16.937449261
4700,138.70,16.936157422
4800,141.66,16.934919397
4900,144.63,16.933731894
5000,147.59,16.932591881
5100,150.55,16.931496567
5200,153.51,16.930443371
5300,156.48,16.929429911
5400,159.44,16.928453980
5500,162.39,16.927513531
5600,165.34,16.926606663
5700,168.30,16.925731610
5800,171.26,16.924886725
5900,174.22,16.924070476
6000,177.18,16.923281431
6100,180.14,16.922518252
6200,183.10,16.921779687
6300,186.06,16.921064566
6400,189.02,16.920371788
6500,191.98,16.919700323
6600,194.95,16.919049203
6700,197.93,16.918417516
6800,200.89,16.917804405
6900,203.86,16.917209064
7000,206.83,16.916630729
7100,209.81,16.916068684
7200,212.79,16.915522248
7300,215.76,16.914990781
7400,218.73,16.914473677
7500,221.72,16.913970360
7600,224.71,16.913480286
7700,227.70,16.913002940
7800,230.67,16.912537832
7900,233.64,16.912084498
8000,236.64,16.911642495
8100,239.67,16.911211405
8200,242.65,16.910790828
8300,245.64,16.910380383
8400,248.64,16.909979711
8500,251.64,16.909588465
8600,254.63,16.909206316
8700,257.63,16.908832951
8800,260.64,16.908468072
8900,263.64,16.908111390
