t,state,qr,qe,demand,inventory,period_cost,demand_low,demand_high,avg_sim_cost,dp_value
0,"(6, 0, 0)",0,0,2,4,20.0,0,3,20.200000762939453,20.424927536002183
1,"(4, 0, 1)",3,0,1,3,15.0,0,3,20.200000762939453,20.424927536002183
2,"(3, 3, 0)",0,0,0,6,15.0,0,3,20.200000762939453,20.424927536002183
3,"(6, 0, 1)",2,0,2,4,20.0,0,3,20.200000762939453,20.424927536002183
4,"(4, 2, 0)",0,0,0,6,20.0,0,3,20.200000762939453,20.424927536002183
5,"(6, 0, 1)",2,0,1,5,25.0,0,3,20.200000762939453,20.424927536002183
6,"(5, 2, 0)",0,0,1,6,20.0,0,3,20.200000762939453,20.424927536002183
7,"(6, 0, 1)",2,0,1,5,25.0,0,3,20.200000762939453,20.424927536002183
8,"(5, 2, 0)",0,0,1,6,20.0,0,3,20.200000762939453,20.424927536002183
9,"(6, 0, 1)",2,0,1,5,25.0,0,3,20.200000762939453,20.424927536002183
10,"(5, 2, 0)",0,0,2,5,15.0,0,3,20.200000762939453,20.424927536002183
11,"(5, 0, 1)",3,0,0,5,25.0,0,3,20.200000762939453,20.424927536002183
12,"(5, 3, 0)",0,0,0,8,25.0,0,3,20.200000762939453,20.424927536002183
13,"(8, 0, 1)",0,0,2,6,30.0,0,3,20.200000762939453,20.424927536002183
14,"(6, 0, 0)",0,0,2,4,20.0,0,3,20.200000762939453,20.424927536002183
15,"(4, 0, 1)",3,0,3,1,5.0,0,3,20.200000762939453,20.424927536002183
16,"(1, 3, 0)",0,2,0,6,55.0,0,3,20.200000762939453,20.424927536002183
17,"(6, 0, 1)",2,0,2,4,20.0,0,3,20.200000762939453,20.424927536002183
18,"(4, 2, 0)",0,0,3,3,5.0,0,3,20.200000762939453,20.424927536002183
19,"(3, 0, 1)",3,0,3,0,0.0,0,3,20.200000762939453,20.424927536002183
20,"(0, 3, 0)",0,3,0,6,75.0,0,3,20.200000762939453,20.424927536002183
21,"(6, 0, 1)",2,0,1,5,25.0,0,3,20.200000762939453,20.424927536002183
22,"(5, 2, 0)",0,0,0,7,25.0,0,3,20.200000762939453,20.424927536002183
23,"(7, 0, 1)",1,0,0,7,35.0,0,3,20.200000762939453,20.424927536002183
24,"(7, 1, 0)",0,0,3,5,20.0,0,3,20.200000762939453,20.424927536002183
25,"(5, 0, 1)",3,0,1,4,20.0,0,3,20.200000762939453,20.424927536002183
26,"(4, 3, 0)",0,0,2,5,10.0,0,3,20.200000762939453,20.424927536002183
27,"(5, 0, 1)",3,0,0,5,25.0,0,3,20.200000762939453,20.424927536002183
28,"(5, 3, 0)",0,0,2,6,15.0,0,3,20.200000762939453,20.424927536002183
29,"(6, 0, 1)",2,0,0,6,30.0,0,3,20.200000762939453,20.424927536002183
30,"(6, 2, 0)",0,0,2,6,20.0,0,3,20.200000762939453,20.424927536002183
31,"(6, 0, 1)",2,0,1,5,25.0,0,3,20.200000762939453,20.424927536002183
32,"(5, 2, 0)",0,0,1,6,20.0,0,3,20.200000762939453,20.424927536002183
33,"(6, 0, 1)",2,0,0,6,30.0,0,3,20.200000762939453,20.424927536002183
34,"(6, 2, 0)",0,0,2,6,20.0,0,3,20.200000762939453,20.424927536002183
35,"(6, 0, 1)",2,0,3,3,15.0,0,3,20.200000762939453,20.424927536002183
36,"(3, 2, 0)",0,0,2,3,5.0,0,3,20.200000762939453,20.424927536002183
37,"(3, 0, 1)",3,0,0,3,15.0,0,3,20.200000762939453,20.424927536002183
38,"(3, 3, 0)",0,0,2,4,5.0,0,3,20.200000762939453,20.424927536002183
39,"(4, 0, 1)",3,0,1,3,15.0,0,3,20.200000762939453,20.424927536002183
40,"(3, 3, 0)",0,0,0,6,15.0,0,3,20.200000762939453,20.424927536002183
41,"(6, 0, 1)",2,0,3,3,15.0,0,3,20.200000762939453,20.424927536002183
42,"(3, 2, 0)",0,0,2,3,5.0,0,3,20.200000762939453,20.424927536002183
43,"(3, 0, 1)",3,0,2,1,5.0,0,3,20.200000762939453,20.424927536002183
44,"(1, 3, 0)",0,2,1,5,50.0,0,3,20.200000762939453,20.424927536002183
45,"(5, 0, 1)",3,0,1,4,20.0,0,3,20.200000762939453,20.424927536002183
46,"(4, 3, 0)",0,0,2,5,10.0,0,3,20.200000762939453,20.424927536002183
47,"(5, 0, 1)",3,0,2,3,15.0,0,3,20.200000762939453,20.424927536002183
48,"(3, 3, 0)",0,0,2,4,5.0,0,3,20.200000762939453,20.424927536002183
49,"(4, 0, 1)",3,0,1,3,15.0,0,3,20.200000762939453,20.424927536002183
0,"(6, 0, 0)",0,0,3,3,15.0,0,4,26.200000762939453,26.702391790741192
1,"(3, 0, 1)",4,1,1,3,35.0,0,4,26.200000762939453,26.702391790741192
2,"(3, 4, 0)",0,1,1,7,35.0,0,4,26.200000762939453,26.702391790741192
3,"(7, 0, 1)",3,0,3,4,20.0,0,4,26.200000762939453,26.702391790741192
4,"(4, 3, 0)",0,0,1,6,15.0,0,4,26.200000762939453,26.702391790741192
5,"(6, 0, 1)",4,0,1,5,25.0,0,4,26.200000762939453,26.702391790741192
6,"(5, 4, 0)",0,0,1,8,20.0,0,4,26.200000762939453,26.702391790741192
7,"(8, 0, 1)",3,0,1,7,35.0,0,4,26.200000762939453,26.702391790741192
8,"(7, 3, 0)",0,0,1,9,30.0,0,4,26.200000762939453,26.702391790741192
9,"(9, 0, 1)",2,0,1,8,40.0,0,4,26.200000762939453,26.702391790741192
10,"(8, 2, 0)",0,0,3,7,25.0,0,4,26.200000762939453,26.702391790741192
11,"(7, 0, 1)",3,0,0,7,35.0,0,4,26.200000762939453,26.702391790741192
12,"(7, 3, 0)",0,0,0,10,35.0,0,4,26.200000762939453,26.702391790741192
13,"(10, 0, 1)",1,0,2,8,40.0,0,4,26.200000762939453,26.702391790741192
14,"(8, 1, 0)",0,0,2,7,30.0,0,4,26.200000762939453,26.702391790741192
15,"(7, 0, 1)",3,0,3,4,20.0,0,4,26.200000762939453,26.702391790741192
16,"(4, 3, 0)",0,0,0,7,20.0,0,4,26.200000762939453,26.702391790741192
17,"(7, 0, 1)",3,0,3,4,20.0,0,4,26.200000762939453,26.702391790741192
18,"(4, 3, 0)",0,0,3,4,5.0,0,4,26.200000762939453,26.702391790741192
19,"(4, 0, 1)",4,0,3,1,5.0,0,4,26.200000762939453,26.702391790741192
20,"(1, 4, 0)",0,3,0,8,80.0,0,4,26.200000762939453,26.702391790741192
