t,state,qr,qe,demand,inventory,period_cost,demand_low,demand_high,avg_sim_cost,dp_value
0,"(6, 0, 0)",2,0,2,4,20.0,0,3,19.200000762939453,20.424927536002183
1,"(4, 2, 1)",0,0,1,5,15.0,0,3,19.200000762939453,20.424927536002183
2,"(5, 0, 0)",3,0,0,5,25.0,0,3,19.200000762939453,20.424927536002183
3,"(5, 3, 1)",0,0,2,6,15.0,0,3,19.200000762939453,20.424927536002183
4,"(6, 0, 0)",2,0,0,6,30.0,0,3,19.200000762939453,20.424927536002183
5,"(6, 2, 1)",0,0,1,7,25.0,0,3,19.200000762939453,20.424927536002183
6,"(7, 0, 0)",1,0,1,6,30.0,0,3,19.200000762939453,20.424927536002183
7,"(6, 1, 1)",0,0,1,6,25.0,0,3,19.200000762939453,20.424927536002183
8,"(6, 0, 0)",2,0,1,5,25.0,0,3,19.200000762939453,20.424927536002183
9,"(5, 2, 1)",0,0,1,6,20.0,0,3,19.200000762939453,20.424927536002183
10,"(6, 0, 0)",2,0,2,4,20.0,0,3,19.200000762939453,20.424927536002183
11,"(4, 2, 1)",0,0,0,6,20.0,0,3,19.200000762939453,20.424927536002183
12,"(6, 0, 0)",2,0,0,6,30.0,0,3,19.200000762939453,20.424927536002183
13,"(6, 2, 1)",0,0,2,6,20.0,0,3,19.200000762939453,20.424927536002183
14,"(6, 0, 0)",2,0,2,4,20.0,0,3,19.200000762939453,20.424927536002183
15,"(4, 2, 1)",0,0,3,3,5.0,0,3,19.200000762939453,20.424927536002183
16,"(3, 0, 0)",3,0,0,3,15.0,0,3,19.200000762939453,20.424927536002183
17,"(3, 3, 1)",0,0,2,4,5.0,0,3,19.200000762939453,20.424927536002183
18,"(4, 0, 0)",3,0,3,1,5.0,0,3,19.200000762939453,20.424927536002183
19,"(1, 3, 1)",0,2,3,3,40.0,0,3,19.200000762939453,20.424927536002183
20,"(3, 0, 0)",3,0,0,3,15.0,0,3,19.200000762939453,20.424927536002183
21,"(3, 3, 1)",0,0,1,5,10.0,0,3,19.200000762939453,20.424927536002183
22,"(5, 0, 0)",3,0,0,5,25.0,0,3,19.200000762939453,20.424927536002183
23,"(5, 3, 1)",0,0,0,8,25.0,0,3,19.200000762939453,20.424927536002183
24,"(8, 0, 0)",0,0,3,5,25.0,0,3,19.200000762939453,20.424927536002183
25,"(5, 0, 1)",0,0,1,4,20.0,0,3,19.200000762939453,20.424927536002183
26,"(4, 0, 0)",3,0,2,2,10.0,0,3,19.200000762939453,20.424927536002183
27,"(2, 3, 1)",0,1,0,6,35.0,0,3,19.200000762939453,20.424927536002183
28,"(6, 0, 0)",2,0,2,4,20.0,0,3,19.200000762939453,20.424927536002183
29,"(4, 2, 1)",0,0,0,6,20.0,0,3,19.200000762939453,20.424927536002183
30,"(6, 0, 0)",2,0,2,4,20.0,0,3,19.200000762939453,20.424927536002183
31,"(4, 2, 1)",0,0,1,5,15.0,0,3,19.200000762939453,20.424927536002183
32,"(5, 0, 0)",3,0,1,4,20.0,0,3,19.200000762939453,20.424927536002183
33,"(4, 3, 1)",0,0,0,7,20.0,0,3,19.200000762939453,20.424927536002183
34,"(7, 0, 0)",1,0,2,5,25.0,0,3,19.200000762939453,20.424927536002183
35,"(5, 1, 1)",0,0,3,3,10.0,0,3,19.200000762939453,20.424927536002183
36,"(3, 0, 0)",3,0,2,1,5.0,0,3,19.200000762939453,20.424927536002183
37,"(1, 3, 1)",0,2,0,6,55.0,0,3,19.200000762939453,20.424927536002183
38,"(6, 0, 0)",2,0,2,4,20.0,0,3,19.200000762939453,20.424927536002183
39,"(4, 2, 1)",0,0,1,5,15.0,0,3,19.200000762939453,20.424927536002183
40,"(5, 0, 0)",3,0,0,5,25.0,0,3,19.200000762939453,20.424927536002183
41,"(5, 3, 1)",0,0,3,5,10.0,0,3,19.200000762939453,20.424927536002183
42,"(5, 0, 0)",3,0,2,3,15.0,0,3,19.200000762939453,20.424927536002183
43,"(3, 3, 1)",0,0,2,4,5.0,0,3,19.200000762939453,20.424927536002183
44,"(4, 0, 0)",3,0,1,3,15.0,0,3,19.200000762939453,20.424927536002183
45,"(3, 3, 1)",0,0,1,5,10.0,0,3,19.200000762939453,20.424927536002183
46,"(5, 0, 0)",3,0,2,3,15.0,0,3,19.200000762939453,20.424927536002183
47,"(3, 3, 1)",0,0,2,4,5.0,0,3,19.200000762939453,20.424927536002183
48,"(4, 0, 0)",3,0,2,2,10.0,0,3,19.200000762939453,20.424927536002183
